Filename,Start,PolyHeader,PolySize,Bytes,,,,,PolyHeader,,ENGISTQCC,,," # print(""bit0-1   | Culling      :["" + str(p_flag_bit0_1) + ""] "" + bit_ppar0_1[(p_flag_bit0_1)])"
model_BAS00_024.bin,16360,f2 00 00 00,4,128,,,,,,,,,,
model_BAS00_024.bin,16496,f2 00 00 00,4,128,,,,,,,,,,
model_BAS00_024.bin,16632,f2 00 00 00,4,128,,,,,,,,,,
model_BAS00_024.bin,16768,f2 00 00 00,4,128,,,,,,,,,,
model_BAS00_024.bin,16904,f2 00 00 00,4,128,,,,,,,,,,
model_BAS00_024.bin,22552,f2 00 00 00,4,128,,,,,,,,,,
model_BAS00_030.bin,5752,f2 00 00 00,4,128,,,,,,,,,,
model_BAS00_042.bin,104,72 00 00 00,4,552,,,,,,,,,,
model_BAS00_032.bin,104,72 00 00 00,4,864,,,,,,,,,,
model_BAS00_035.bin,104,72 00 00 00,4,1208,,,,,,,,,,
model_BAS00_041.bin,104,72 00 00 00,4,1208,,,,,,,,,,
model_BAS00_034.bin,104,72 00 00 00,4,1248,,,,,,,,,,
model_BAS00_039.bin,104,72 00 00 00,4,1248,,,,,,,,,,
model_BAS00_040.bin,104,72 00 00 00,4,1248,,,,,,,,,,
model_BAS00_045.bin,104,72 00 00 00,4,1248,,,,,,,,,,
model_BAS00_036.bin,104,72 00 00 00,4,1344,,,,,,,,,,
model_BAS00_033.bin,104,72 00 00 00,4,1472,,,,,,,,,,
model_BAS00_009.bin,752,0c 00 00 00,5,40,,,,,,,,,,
model_BAS00_022.bin,2976,0c 00 00 00,5,40,,,,,,,,,,
model_BAS00_003.bin,44136,0e 00 00 00,5,40,,,,,,,,,,
model_BAS00_003.bin,51208,1f 00 00 00,5,40,,,,,,,,,,
model_BAS00_003.bin,43256,2f 00 00 00,5,40,,,,,,,,,,
model_BAS00_003.bin,2496,f2 00 00 00,5,40,,,,,,,,,,
model_BAS00_003.bin,8768,f2 00 00 00,5,40,,,,,,,,,,
model_BAS00_003.bin,12680,f2 00 00 00,5,40,,,,,,,,,,
model_BAS00_003.bin,14200,f2 00 00 00,5,40,,,,,,,,,,
model_BAS00_003.bin,16360,f2 00 00 00,5,40,,,,,,,,,,
model_BAS00_003.bin,21408,f2 00 00 00,5,40,,,,,,,,,,
model_BAS00_003.bin,22192,f2 00 00 00,5,40,,,,,,,,,,
model_BAS00_003.bin,5792,f2 00 00 00,5,64,,,,,,,,,,
model_BAS00_003.bin,18328,f2 00 00 00,5,64,,,,,,,,,,
model_BAS00_003.bin,19464,f2 00 00 00,5,64,,,,,,,,,,
model_BAS00_003.bin,22096,72 00 00 00,5,88,,,,,,,,,,
model_BAS00_003.bin,6072,f2 00 00 00,5,88,,,,,,,,,,
